version;N;trial;reps;kernel_ms
scalar;8;1;200000;0,000188
vector;8;1;200000;0,000151
vector;8;2;200000;0,000150
scalar;8;2;200000;0,000181
scalar;8;3;200000;0,000182
vector;8;3;200000;0,000155
vector;8;4;200000;0,000157
scalar;8;4;200000;0,000192
scalar;8;5;200000;0,000192
vector;8;5;200000;0,000159
vector;8;6;200000;0,000157
scalar;8;6;200000;0,000189
scalar;8;7;200000;0,000193
vector;8;7;200000;0,000159
vector;8;8;200000;0,000162
scalar;8;8;200000;0,000179
scalar;8;9;200000;0,000189
vector;8;9;200000;0,000147
vector;8;10;200000;0,000157
scalar;8;10;200000;0,000181
scalar;8;11;200000;0,000184
vector;8;11;200000;0,000153
vector;8;12;200000;0,000158
scalar;8;12;200000;0,000188
scalar;8;13;200000;0,000191
vector;8;13;200000;0,000147
vector;8;14;200000;0,000150
scalar;8;14;200000;0,000180
scalar;8;15;200000;0,000189
vector;8;15;200000;0,000147
vector;8;16;200000;0,000151
scalar;8;16;200000;0,000173
scalar;8;17;200000;0,000171
vector;8;17;200000;0,000143
vector;8;18;200000;0,000149
scalar;8;18;200000;0,000175
scalar;8;19;200000;0,000177
vector;8;19;200000;0,000144
vector;8;20;200000;0,000152
scalar;8;20;200000;0,000177
scalar;1000;1;50000;0,007589
vector;1000;1;50000;0,000841
vector;1000;2;50000;0,001881
scalar;1000;2;50000;0,007533
scalar;1000;3;50000;0,005310
vector;1000;3;50000;0,000881
vector;1000;4;50000;0,001957
scalar;1000;4;50000;0,007442
scalar;1000;5;50000;0,008996
vector;1000;5;50000;0,000849
vector;1000;6;50000;0,001692
scalar;1000;6;50000;0,009856
scalar;1000;7;50000;0,006705
vector;1000;7;50000;0,000791
vector;1000;8;50000;0,000876
scalar;1000;8;50000;0,007747
scalar;1000;9;50000;0,006146
vector;1000;9;50000;0,000861
vector;1000;10;50000;0,002098
scalar;1000;10;50000;0,007368
scalar;1000;11;50000;0,004773
vector;1000;11;50000;0,000839
vector;1000;12;50000;0,001551
scalar;1000;12;50000;0,009712
scalar;1000;13;50000;0,004755
vector;1000;13;50000;0,000889
vector;1000;14;50000;0,002009
scalar;1000;14;50000;0,007607
scalar;1000;15;50000;0,006726
vector;1000;15;50000;0,000784
vector;1000;16;50000;0,000804
scalar;1000;16;50000;0,004796
scalar;1000;17;50000;0,006729
vector;1000;17;50000;0,000808
vector;1000;18;50000;0,001508
scalar;1000;18;50000;0,007530
scalar;1000;19;50000;0,006691
vector;1000;19;50000;0,000831
vector;1000;20;50000;0,000844
scalar;1000;20;50000;0,004907
scalar;1000000;1;50;6,302585
vector;1000000;1;50;1,520517
vector;1000000;2;50;1,545344
scalar;1000000;2;50;4,894086
scalar;1000000;3;50;7,579682
vector;1000000;3;50;2,377255
vector;1000000;4;50;2,166489
scalar;1000000;4;50;5,901390
scalar;1000000;5;50;7,144065
vector;1000000;5;50;1,844197
vector;1000000;6;50;4,342379
scalar;1000000;6;50;8,072065
scalar;1000000;7;50;6,884723
vector;1000000;7;50;1,665082
vector;1000000;8;50;3,728432
scalar;1000000;8;50;7,342944
scalar;1000000;9;50;6,951136
vector;1000000;9;50;1,985909
vector;1000000;10;50;3,393918
scalar;1000000;10;50;5,488155
scalar;1000000;11;50;6,765214
vector;1000000;11;50;2,261202
vector;1000000;12;50;4,068588
scalar;1000000;12;50;7,075399
scalar;1000000;13;50;7,179771
vector;1000000;13;50;1,361357
vector;1000000;14;50;1,582497
scalar;1000000;14;50;8,325812
scalar;1000000;15;50;5,758035
vector;1000000;15;50;1,504225
vector;1000000;16;50;1,742177
scalar;1000000;16;50;7,603275
scalar;1000000;17;50;4,902508
vector;1000000;17;50;1,671512
vector;1000000;18;50;4,192021
scalar;1000000;18;50;6,579709
scalar;1000000;19;50;5,063215
vector;1000000;19;50;1,608216
vector;1000000;20;50;3,760597
scalar;1000000;20;50;5,526000
