N;reps;working_set_KB;scalar_mean_ms;scalar_median_ms;scalar_min_ms;scalar_std_ms;vector_mean_ms;vector_median_ms;vector_min_ms;vector_std_ms;speedup_median;speedup_min;scalar_ns_por_elem;vector_ns_por_elem
8;200000;0,062000;0,000184;0,000183;0,000171;0,000007;0,000152;0,000151;0,000143;0,000005;1,207921;1,195804;22,875000;18,937500
1000;50000;7,812000;0,006946;0,007049;0,004755;0,001535;0,001180;0,000869;0,000784;0,000495;8,115717;6,065051;7,048500;0,868500
1000000;50;7812,500000;6,566988;6,824969;4,894086;1,040257;2,416096;1,915053;1,361357;1,053955;3,563854;3,595006;6,824969;1,915053
