version;N;trial;reps;kernel_ms
scalar;32;10;200000;0,000375
scalar;63;1;200000;0,000748
vector;63;1;200000;0,000120
vector;63;2;200000;0,000116
scalar;63;2;200000;0,000297
scalar;63;3;200000;0,000326
vector;63;3;200000;0,000312
vector;63;4;200000;0,000401
scalar;63;4;200000;0,000845
scalar;63;5;200000;0,000401
vector;63;5;200000;0,000160
vector;63;6;200000;0,000162
scalar;63;6;200000;0,000658
scalar;63;7;200000;0,000731
vector;63;7;200000;0,000275
vector;63;8;200000;0,000264
scalar;63;8;200000;0,000896
scalar;63;9;200000;0,000859
vector;63;9;200000;0,000246
vector;63;10;200000;0,000253
scalar;63;10;200000;0,000813
scalar;64;1;200000;0,000695
vector;64;1;200000;0,000126
vector;64;2;200000;0,000143
scalar;64;2;200000;0,000776
scalar;64;3;200000;0,000750
vector;64;3;200000;0,000241
vector;64;4;200000;0,000280
scalar;64;4;200000;0,000664
scalar;64;5;200000;0,000360
vector;64;5;200000;0,000150
vector;64;6;200000;0,000357
scalar;64;6;200000;0,000796
scalar;64;7;200000;0,000361
vector;64;7;200000;0,000115
vector;64;8;200000;0,000268
scalar;64;8;200000;0,001159
scalar;64;9;200000;0,000598
vector;64;9;200000;0,000178
vector;64;10;200000;0,000266
scalar;64;10;200000;0,000748
scalar;100;1;200000;0,001259
vector;100;1;200000;0,000192
vector;100;2;200000;0,000212
scalar;100;2;200000;0,001334
scalar;100;3;200000;0,000551
vector;100;3;200000;0,000127
vector;100;4;200000;0,000130
scalar;100;4;200000;0,000812
scalar;100;5;200000;0,000929
vector;100;5;200000;0,000420
vector;100;6;200000;0,000458
scalar;100;6;200000;0,000861
scalar;100;7;200000;0,000475
vector;100;7;200000;0,000129
vector;100;8;200000;0,000183
scalar;100;8;200000;0,001349
scalar;100;9;200000;0,000625
vector;100;9;200000;0,000203
vector;100;10;200000;0,000354
scalar;100;10;200000;0,001197
scalar;127;1;200000;0,001440
vector;127;1;200000;0,000164
vector;127;2;200000;0,000262
scalar;127;2;200000;0,001008
scalar;127;3;200000;0,000876
vector;127;3;200000;0,000269
vector;127;4;200000;0,000278
scalar;127;4;200000;0,000958
scalar;127;5;200000;0,000616
vector;127;5;200000;0,000171
vector;127;6;200000;0,000401
scalar;127;6;200000;0,001074
scalar;127;7;200000;0,000596
vector;127;7;200000;0,000151
vector;127;8;200000;0,000167
scalar;127;8;200000;0,001733
scalar;127;9;200000;0,001537
vector;127;9;200000;0,000161
vector;127;10;200000;0,000164
scalar;127;10;200000;0,001258
scalar;128;1;200000;0,001215
vector;128;1;200000;0,000176
vector;128;2;200000;0,000145
scalar;128;2;200000;0,001754
scalar;128;3;200000;0,000788
vector;128;3;200000;0,000160
vector;128;4;200000;0,000158
scalar;128;4;200000;0,001057
scalar;128;5;200000;0,000819
vector;128;5;200000;0,000132
vector;128;6;200000;0,000239
scalar;128;6;200000;0,001185
scalar;128;7;200000;0,000737
vector;128;7;200000;0,000169
vector;128;8;200000;0,000164
scalar;128;8;200000;0,001373
scalar;128;9;200000;0,000722
vector;128;9;200000;0,000124
vector;128;10;200000;0,000191
scalar;128;10;200000;0,001382
scalar;255;1;196078;0,001930
vector;255;1;196078;0,000324
vector;255;2;196078;0,000529
scalar;255;2;196078;0,001729
scalar;255;3;196078;0,001447
vector;255;3;196078;0,000236
vector;255;4;196078;0,000238
scalar;255;4;196078;0,001173
scalar;255;5;196078;0,001186
vector;255;5;196078;0,000303
vector;255;6;196078;0,000766
scalar;255;6;196078;0,002717
scalar;255;7;196078;0,001713
vector;255;7;196078;0,000268
vector;255;8;196078;0,000725
scalar;255;8;196078;0,001612
scalar;255;9;196078;0,001210
vector;255;9;196078;0,000331
vector;255;10;196078;0,000785
scalar;255;10;196078;0,001958
scalar;256;1;195312;0,002403
vector;256;1;195312;0,000220
vector;256;2;195312;0,000244
scalar;256;2;195312;0,001946
scalar;256;3;195312;0,001783
vector;256;3;195312;0,000243
vector;256;4;195312;0,000675
scalar;256;4;195312;0,001687
scalar;256;5;195312;0,001560
vector;256;5;195312;0,000201
vector;256;6;195312;0,000235
scalar;256;6;195312;0,002089
scalar;256;7;195312;0,001190
vector;256;7;195312;0,000203
vector;256;8;195312;0,000239
scalar;256;8;195312;0,002227
scalar;256;9;195312;0,001580
vector;256;9;195312;0,000207
vector;256;10;195312;0,000230
scalar;256;10;195312;0,001225
scalar;500;1;100000;0,006069
vector;500;1;100000;0,000464
vector;500;2;100000;0,001195
scalar;500;2;100000;0,004098
scalar;500;3;100000;0,003470
vector;500;3;100000;0,000407
vector;500;4;100000;0,000431
scalar;500;4;100000;0,004464
scalar;500;5;100000;0,003162
vector;500;5;100000;0,000398
vector;500;6;100000;0,000388
scalar;500;6;100000;0,002284
scalar;500;7;100000;0,003452
vector;500;7;100000;0,000429
vector;500;8;100000;0,000723
scalar;500;8;100000;0,004111
scalar;500;9;100000;0,003108
vector;500;9;100000;0,000433
vector;500;10;100000;0,001186
scalar;500;10;100000;0,003927
scalar;512;1;97656;0,003585
vector;512;1;97656;0,000445
vector;512;2;97656;0,000937
scalar;512;2;97656;0,003080
scalar;512;3;97656;0,002364
vector;512;3;97656;0,000387
vector;512;4;97656;0,000393
scalar;512;4;97656;0,003685
scalar;512;5;97656;0,003156
vector;512;5;97656;0,000390
vector;512;6;97656;0,000423
scalar;512;6;97656;0,004209
scalar;512;7;97656;0,003556
vector;512;7;97656;0,000405
vector;512;8;97656;0,000396
scalar;512;8;97656;0,004099
scalar;512;9;97656;0,003115
vector;512;9;97656;0,000398
vector;512;10;97656;0,000985
scalar;512;10;97656;0,003968
scalar;1000;1;50000;0,006553
vector;1000;1;50000;0,000842
vector;1000;2;50000;0,001863
scalar;1000;2;50000;0,008116
scalar;1000;3;50000;0,007007
vector;1000;3;50000;0,000872
vector;1000;4;50000;0,002092
scalar;1000;4;50000;0,007617
scalar;1000;5;50000;0,006575
vector;1000;5;50000;0,000860
vector;1000;6;50000;0,002146
scalar;1000;6;50000;0,007783
scalar;1000;7;50000;0,004767
vector;1000;7;50000;0,000841
vector;1000;8;50000;0,002169
scalar;1000;8;50000;0,007815
scalar;1000;9;50000;0,007334
vector;1000;9;50000;0,000781
vector;1000;10;50000;0,000956
scalar;1000;10;50000;0,007617
scalar;1001;1;49950;0,008159
vector;1001;1;49950;0,000864
vector;1001;2;49950;0,002146
scalar;1001;2;49950;0,008280
scalar;1001;3;49950;0,007534
vector;1001;3;49950;0,000886
vector;1001;4;49950;0,001282
scalar;1001;4;49950;0,007977
scalar;1001;5;49950;0,004591
vector;1001;5;49950;0,000763
vector;1001;6;49950;0,000778
scalar;1001;6;49950;0,004652
scalar;1001;7;49950;0,004661
vector;1001;7;49950;0,000868
vector;1001;8;49950;0,001819
scalar;1001;8;49950;0,009314
scalar;1001;9;49950;0,006893
vector;1001;9;49950;0,000819
vector;1001;10;49950;0,000848
scalar;1001;10;49950;0,008494
scalar;1024;1;48828;0,007115
vector;1024;1;48828;0,000839
vector;1024;2;48828;0,001646
scalar;1024;2;48828;0,008244
scalar;1024;3;48828;0,004815
vector;1024;3;48828;0,000794
vector;1024;4;48828;0,000806
scalar;1024;4;48828;0,006339
scalar;1024;5;48828;0,006625
vector;1024;5;48828;0,000822
vector;1024;6;48828;0,001089
scalar;1024;6;48828;0,004759
scalar;1024;7;48828;0,007140
vector;1024;7;48828;0,000806
vector;1024;8;48828;0,000793
scalar;1024;8;48828;0,005866
scalar;1024;9;48828;0,004686
vector;1024;9;48828;0,000857
vector;1024;10;48828;0,001818
scalar;1024;10;48828;0,006816
scalar;2048;1;24414;0,015575
vector;2048;1;24414;0,001711
vector;2048;2;24414;0,003273
scalar;2048;2;24414;0,016484
scalar;2048;3;24414;0,015882
vector;2048;3;24414;0,001729
vector;2048;4;24414;0,003279
scalar;2048;4;24414;0,016811
scalar;2048;5;24414;0,009558
vector;2048;5;24414;0,001584
vector;2048;6;24414;0,001749
scalar;2048;6;24414;0,016267
scalar;2048;7;24414;0,009653
vector;2048;7;24414;0,001610
vector;2048;8;24414;0,001639
scalar;2048;8;24414;0,009793
scalar;2048;9;24414;0,009811
vector;2048;9;24414;0,001703
vector;2048;10;24414;0,001842
scalar;2048;10;24414;0,016461
scalar;4096;1;12207;0,029527
vector;4096;1;12207;0,003343
vector;4096;2;12207;0,003826
scalar;4096;2;12207;0,029887
scalar;4096;3;12207;0,032201
vector;4096;3;12207;0,003674
vector;4096;4;12207;0,008621
scalar;4096;4;12207;0,027948
scalar;4096;5;12207;0,040665
vector;4096;5;12207;0,003886
vector;4096;6;12207;0,005227
scalar;4096;6;12207;0,030668
scalar;4096;7;12207;0,026839
vector;4096;7;12207;0,003772
vector;4096;8;12207;0,009051
scalar;4096;8;12207;0,032477
scalar;4096;9;12207;0,026755
vector;4096;9;12207;0,003633
vector;4096;10;12207;0,007904
scalar;4096;10;12207;0,025518
scalar;8192;1;6103;0,060067
vector;8192;1;6103;0,006641
vector;8192;2;6103;0,006888
scalar;8192;2;6103;0,038625
scalar;8192;3;6103;0,037897
vector;8192;3;6103;0,006611
vector;8192;4;6103;0,006656
scalar;8192;4;6103;0,057132
scalar;8192;5;6103;0,059185
vector;8192;5;6103;0,006935
vector;8192;6;6103;0,008078
scalar;8192;6;6103;0,055536
scalar;8192;7;6103;0,049785
vector;8192;7;6103;0,006720
vector;8192;8;6103;0,006655
scalar;8192;8;6103;0,038459
scalar;8192;9;6103;0,058158
vector;8192;9;6103;0,007002
vector;8192;10;6103;0,007346
scalar;8192;10;6103;0,039029
scalar;10000;1;5000;0,045599
vector;10000;1;5000;0,007898
vector;10000;2;5000;0,008215
scalar;10000;2;5000;0,046547
scalar;10000;3;5000;0,047091
vector;10000;3;5000;0,008652
vector;10000;4;5000;0,008479
scalar;10000;4;5000;0,071656
scalar;10000;5;5000;0,048275
vector;10000;5;5000;0,008090
vector;10000;6;5000;0,008092
scalar;10000;6;5000;0,046077
scalar;10000;7;5000;0,046706
vector;10000;7;5000;0,009406
vector;10000;8;5000;0,020715
scalar;10000;8;5000;0,068763
scalar;10000;9;5000;0,066660
vector;10000;9;5000;0,008196
vector;10000;10;5000;0,008169
scalar;10000;10;5000;0,060590
scalar;16384;1;3051;0,096964
vector;16384;1;3051;0,015830
vector;16384;2;3051;0,025181
scalar;16384;2;3051;0,126625
scalar;16384;3;3051;0,108271
vector;16384;3;3051;0,013312
vector;16384;4;3051;0,013933
scalar;16384;4;3051;0,124902
scalar;16384;5;3051;0,106026
vector;16384;5;3051;0,013858
vector;16384;6;3051;0,013932
scalar;16384;6;3051;0,119992
scalar;16384;7;3051;0,117866
vector;16384;7;3051;0,014724
vector;16384;8;3051;0,031566
scalar;16384;8;3051;0,134457
scalar;16384;9;3051;0,079592
vector;16384;9;3051;0,015015
